"periode_data","jenis","kode_trayek","trayek","jumlah_penumpang"
"202101","BRT","10","Tanjung Priok - PGC 2","356211"
"202101","BRT","1","Blok M - Kota","773717"
"202101","Angkutan Umum Integrasi","GR5","Kota Tua Explorer","261"
"202101","Angkutan Umum Integrasi","GR4","Taman Kota Intan - Museum Bahari","76"
"202101","Angkutan Umum Integrasi","9E","Kebayoran Lama - Jelambar","15039"
"202101","Angkutan Umum Integrasi","9D","Pasar Minggu - Tanah Abang","75918"
"202101","Angkutan Umum Integrasi","8K","Batu Sari-Tanah Abang","6867"
"202101","Angkutan Umum Integrasi","8E","Bintaro - Blok M","21336"
"202101","Angkutan Umum Integrasi","8D","Joglo - Blok M","38523"
"202101","Angkutan Umum Integrasi","8C","Kebayoran Lama - Tanah Abang","13021"
"202101","Angkutan Umum Integrasi","7P","Pondok Kelapa - BKN","27248"
"202101","Angkutan Umum Integrasi","7D","Pancoran - TMII","17464"
"202101","Angkutan Umum Integrasi","7B","Kampung Rambutan - Blok M","87284"
"202101","Angkutan Umum Integrasi","7A","Kampung Rambutan - Lebak Bulus","47005"
"202101","Angkutan Umum Integrasi","6R","Ragunan - Stasin MRT Fatmawati","1780"
"202101","Angkutan Umum Integrasi","6M","Stasiun Manggarai - Blok M","25781"
"202101","Angkutan Umum Integrasi","6H","Senen - Lebak Bulus","15742"
"202101","Angkutan Umum Integrasi","6C","Stasin Tebet - Karet via Patra Kuningan","94200"
"202101","Angkutan Umum Integrasi","5M","Kampung Melayu - Tanah Abang via Cikini","87492"
"202101","Angkutan Umum Integrasi","5F","Kampung Melayu - Tanah Abang","18094"
"202101","Angkutan Umum Integrasi","5B","Stasiun Tebet - Bidara Cina","8008"
"202101","Angkutan Umum Integrasi","4F","Pinang Ranti - Pulo Gadung","39562"
"202101","Angkutan Umum Integrasi","4B","Stasiun Manggarai - UI","31546"
"202104","Angkutan Umum Integrasi","6C","Stasin Tebet - Karet via Patra Kuningan","93015"
"202104","Angkutan Umum Integrasi","5M","Kampung Melayu - Tanah Abang via Cikini","82099"
"202104","Angkutan Umum Integrasi","5F","Kampung Melayu - Tanah Abang","19869"
"202104","Angkutan Umum Integrasi","5B","Stasiun Tebet - Bidara Cina","8900"
"202104","Angkutan Umum Integrasi","4F","Pinang Ranti - Pulo Gadung","40791"
"202104","Angkutan Umum Integrasi","4B","Stasiun Manggarai - UI","39665"
"202104","Angkutan Umum Integrasi","3E","Sentraland Cengkareng - Puri Kembangan","23523"
"202104","Angkutan Umum Integrasi","1R","Senen - Tanah Abang","12332"
"202104","Angkutan Umum Integrasi","1Q","Rempoa - Blok M","27234"
"202104","Angkutan Umum Integrasi","1P","Senen - Bundaran Senayan","7598"
"202104","Angkutan Umum Integrasi","1N","Tanah Abang - Blok M","6413"
"202104","Angkutan Umum Integrasi","1M","Meruya - Blok M","26770"
"202104","Angkutan Umum Integrasi","1H","Tanah Abang - Stasiun Gondangdia","38538"
"202104","Angkutan Umum Integrasi","1F","Stasiun Palmerah - Bundaran Senayan","8696"
"202104","Angkutan Umum Integrasi","1E","Pondok Labu - Blok M","68159"
"202104","Angkutan Umum Integrasi","1C","Pesanggrahan - Blok M","16091"
"202104","Angkutan Umum Integrasi","1B","Stasiun Palmerah - Tosari","22586"
"202104","Angkutan Umum Integrasi","1A","PIK - Balai Kota","69934"
"202104","Angkutan Umum Integrasi","12B","Pluit - Senen","12887"
"202104","Angkutan Umum Integrasi","11Q","Kampung Melayu - Pulo Gebang via BKT","11128"
"202104","Angkutan Umum Integrasi","11D","Pulo Gebang - Pulo Gadung 2 via PIK","55677"
"202104","Angkutan Umum Integrasi","10K","Tanjung Priok - Senen via Taman BMW","34736"
"202105","Angkutan Umum Integrasi","5B","Stasiun Tebet - Bidara Cina","6123"
"202105","Angkutan Umum Integrasi","4F","Pinang Ranti - Pulo Gadung","30816"
"202105","Angkutan Umum Integrasi","4B","Stasiun Manggarai - UI","31316"
"202105","Angkutan Umum Integrasi","3E","Sentraland Cengkareng - Puri Kembangan","22119"
"202105","Angkutan Umum Integrasi","1R","Senen - Tanah Abang","25213"
"202105","Angkutan Umum Integrasi","1Q","Rempoa - Blok M","25213"
"202105","Angkutan Umum Integrasi","1P","Senen - Bundaran Senayan","5854"
"202105","Angkutan Umum Integrasi","1N","Tanah Abang - Blok M","6932"
"202105","Angkutan Umum Integrasi","1M","Meruya - Blok M","23297"
"202105","Angkutan Umum Integrasi","1H","Tanah Abang - Stasiun Gondangdia","30212"
"202105","Angkutan Umum Integrasi","1F","Stasiun Palmerah - Bundaran Senayan","6395"
"202105","Angkutan Umum Integrasi","1E","Pondok Labu - Blok M","60908"
"202105","Angkutan Umum Integrasi","1C","Pesanggrahan - Blok M","16327"
"202105","Angkutan Umum Integrasi","1B","Stasiun Palmerah - Tosari","18874"
